"X.1","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
135710,6463,"Maybe Marco Rubio DID Take Votes From Donald Trump https://t.co/MvaTOC5kXP via @streiffredstate",FALSE,0,NA,"2016-02-02 21:10:45",FALSE,NA,694629048153182208,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","streiffredstate",0,FALSE,FALSE,NA,NA
59274,2823,"RT @HuffPostPol: Kareem Abdul-Jabbar says Donald Trump's ideas are ""illegal and immoral"" https://t.co/lO6f5eB1Ix https://t.co/asn3eIGpNH",FALSE,0,NA,"2016-02-07 21:41:44",FALSE,NA,696448783513739264,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hupsel",56,TRUE,FALSE,NA,NA
60882,2900,"RT @jenstatsky: I'm worried people are letting Donald Trump get away with saying all these insane things just because he's so fucking hot.",FALSE,0,NA,"2016-02-09 00:03:15",FALSE,NA,696846786112188416,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mcmillkay",614,TRUE,FALSE,NA,NA
200559,9551,"RT @RollingStone: Watch Stephen Colbert savor Donald Trump's Iowa caucus defeat https://t.co/PZgcqoNf62 https://t.co/W2INdhf5rD",FALSE,0,NA,"2016-02-04 03:24:26",FALSE,NA,695085476852559872,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Skrillahead_",75,TRUE,FALSE,NA,NA
2562,122,"RT @realjackgillies: Carson: Trump is winning because 'people are easily persuadable' &amp; are part of the ‘sound bite society’
https://t.co/N…",FALSE,0,NA,"2016-02-17 22:30:28",FALSE,NA,700084928524869632,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","maebe1955",5,TRUE,FALSE,NA,NA
277049,77049,"#RealDonaldTrump will save us: https://t.co/cSpSIMH5W9 https://t.co/QZb4Q45zWx",FALSE,0,NA,"2016-01-26 03:35:04",FALSE,NA,691826661331976192,NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","klansmen4trump",0,FALSE,FALSE,NA,NA
183095,8719,"@LindaSuhler Donald Trump is no Ronald Reagan",FALSE,0,"LindaSuhler","2016-02-13 23:16:38",FALSE,698643258184966144,698646993049161728,347627434,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","search9286",0,FALSE,FALSE,NA,NA
261638,61638,"It still boggles my mind that people actually take Donald Trump seriously and think he's the answer to solving America's issues",FALSE,14,NA,"2016-01-26 05:59:42",FALSE,NA,691863058524827648,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ethansdolphins",0,FALSE,FALSE,NA,NA
71356,3398,"RT @SCForTedCruz: Israel: Trump Is Not Welcome
https://t.co/lQaqerDQ8q
#SCPrimary #SCPrimary2016 #SouthCarolina #Trump2016 #TedCruz #Christ…",FALSE,0,NA,"2016-02-15 22:01:44",FALSE,NA,699352921406889984,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","Israel_News_INA",33,TRUE,FALSE,NA,NA
170530,8121,"#RealDonaldTrump will save us: https://t.co/cSpSIMH5W9 https://t.co/cxvVhnKkkG",FALSE,0,NA,"2016-02-06 22:47:17",FALSE,NA,696102894744039424,NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","klansmen4trump",0,FALSE,FALSE,NA,NA
133954,6379,"RT @ChillHaylen: Donald Trump.....<ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> https://t.co/dfWb9HGCzx",FALSE,0,NA,"2016-02-15 21:42:51",FALSE,NA,699348170439057408,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_DannyHogan",1854,TRUE,FALSE,NA,NA
73681,3509,"RT @tinatbh: very sad to hear about donald trump. nothing happened to him i’m just sad to hear about him",FALSE,0,NA,"2016-02-07 21:33:01",FALSE,NA,696446590068756480,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HenjaDoll",968,TRUE,FALSE,NA,NA
26756,1275,"RT @lifeaseva: Like for Donald trump, retweet for this jar of recycled air. https://t.co/AtigTreYFN",FALSE,0,NA,"2016-01-30 20:06:22",FALSE,NA,693525681322508288,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","annagracewhite_",8643,TRUE,FALSE,NA,NA
78361,3732,"RT @ESQPolitics: Incredibly strong Donald Trump cancels all campaign events due to snow: https://t.co/XrylEQE6Sz https://t.co/UUSYSDbHWx",FALSE,0,NA,"2016-02-05 21:26:32",FALSE,NA,695720183109939200,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nikluk",24,TRUE,FALSE,NA,NA
194007,9239,"RT @CauseWereGuys: The true identity of Donald Trump has been revealed https://t.co/tSt1JdP87Z",FALSE,0,NA,"2016-02-05 20:14:40",FALSE,NA,695702099661873152,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SMAC_X",849,TRUE,FALSE,NA,NA
30854,1470,"RT @JudiLoera: JOIN TEAM TRUMP: PART OF A MOVEMENT TO TAKE BACK OUR COUNTRY! Donald J. Trump (Vine by @DanScavino) https://t.co/IEcrFKDjLS",FALSE,0,NA,"2016-02-07 00:19:02",FALSE,NA,696125984945340416,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kessmom22",12,TRUE,FALSE,NA,NA
268602,68602,"RT @yunghoezz: My 9 year old brother started crying because he was so scared what Donald trump would do to our family, I hate y'all https:/…",FALSE,0,NA,"2016-01-26 04:52:41",FALSE,NA,691846193383632896,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","elihu909",222,TRUE,FALSE,NA,NA
242945,42945,"RT @politicoalex: Just days before iowa votes, the anti-trump cavalry has arrived with former top romney aide spending real $ https://t.co/…",FALSE,0,NA,"2016-01-26 13:16:53",FALSE,NA,691973080206278656,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HotlineJosh",11,TRUE,FALSE,NA,NA
13580,647,"Your Evening Briefing: Here’s what you need to know at the end of the day. https://t.co/SXIAyhiK9f",FALSE,0,NA,"2016-02-10 23:46:19",FALSE,NA,697567300652695552,NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","StefanoAgresti3",0,FALSE,FALSE,NA,NA
168196,8010,"RT @MrPooni: Reminder that Donald Trump genuinely believes sexual assault is an inevitable side effect of prolonged human contact https://t…",FALSE,0,NA,"2016-02-09 21:20:41",FALSE,NA,697168265492172800,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","adremartins",3416,TRUE,FALSE,NA,NA
